,url,name,किल्ल्याची ऊंची : ,किल्ल्याचा प्रकार  : ,डोंगररांग: ,जिल्हा : ,श्रेणी : ,Gen7,पहाण्याची ठिकाणे,पोहोचण्याच्या वाटा,राहाण्याची सोय,जेवणाची सोय,पाण्याची सोय,जाण्यासाठी लागणारा वेळ,जाण्यासाठी उत्तम कालावधी,Gen13,Gen25,Gen11,Gen15,Gen29,Gen31,Gen23,Gen9,Gen27,Gen19,Gen17,Gen21
0,Aad-Trek-A-Alpha.html," आड 
 (Aad)    ","
4050","गिरीदुर्ग
",डोंगररांग नाही,नाशिक,मध्यम,"








Aad












Aad







","आड किल्ला दक्षिणोत्तर पसरलेला आहे. दक्षिण बाजूला किल्ल्याच्या डोंगराजवळ एक छोटा डोंगर आहे. आडवाडीतून आड किल्ल्याकडे जाणार्‍या वाटेवर मातीचे धरण आहे. या धरणाच्या बाजूने शेतातून वाट किल्ल्याच्या पायथ्याच्या हनुमान मंदिरा पर्यंत जाते. या कौलारु हनुमान मंदिरात हनुमानाची मुर्ती, पिंड आणि २ वीरगळी आहेत. हनुमान मंदिर किल्ल्याच्या उत्तर टोकाच्या पायथ्याशी आहे. हनुमान मंदिरापासून एक पायवाट किल्ल्याच्या डोंगराच्या मध्य भागातून डोंगराच्या पाऊण उंचीवर असलेल्या कातळातील गुहेपाशी जाते. हनुमान मंदिरापासून गुहे पर्यंत पोहोचण्यास १० मिनिटे लागतात. या ठिकाणी नैसर्गिक गुहा आहे. गुहेत एक बाक आणि गुहेच्या बाहेर पाण्याचे टाक कोरलेले आहे. ते टाक सध्या कोरडेच आहे. गुहेत आडूबाईचे ठाण आहे. येथे काही नव्या जुन्या मुर्ती आहेत. गुहेत थोडावेळ आराम करुन किल्ल्याच्या उत्तरेकडील डोंगरधारेकडे चालायला सुरुवात करावी. ५ मिनिटात आपण डोंगर धारेवर पोहोचतो. याठीकाणी कातळात कोरलेल्या १० पायर्‍या आहेत. या पायर्‍यांवरुन जपून चढावे लागते. पायर्‍या चढून गेल्यावर आपण गड माथ्यावर पोहोचतो. गडमाथ्यावर समोरच एक बुजलेले पाण्याचे टाक आहे. त्याच्या थोडे पुढे एकमेकांना काटकोनात असलेली दोन पाण्याची मोठी टाकी आहेत. या टाक्यांच्या डाव्या बाजूला ५ टाक्यांचा समुह आहे. या सर्व टाक्यातील पाणी पिण्यायोग्य नाही. या टाक्यांच्या पुढे गडावरील उंचवटा आहे. पण त्या उंचवट्याकडे न जाता डाव्या बाजूने किल्ल्याच्या कडेकडेने प्रदक्षिणा चालू करावी. गड प्रदक्षिणेत प्रथम एक कोरडा तलाव दिसतो. पुढे कड्यावर वास्तूचे अवशेष दिसतात. त्यापुढे एक कोरडे पाण्याचे टाके आहे. पुढे १५ मिनिटे चालत जाऊन वळसा मारल्यावर आपण किल्ल्याच्या मागिल बाजूस येतो. याठिकाणी एक पडकी वास्तू आहे. तिच्या भिंती कशाबशा तग धरुन उभ्या आहेत. या वास्तूच्या पुढे पाच टाक्यांचा एक समुह आहे. यातील पाणी पिण्यायोग्य नाही.  टाकी पाहून झाल्यावर मध्यभागी असलेल्या उंचवट्यावर चढून जावे. याठिकाणी २ वीरगळी आहेत. माथ्यावर वास्तूंचे चौथरे आहेत. ते सर्व पाहून परत टाक्यांपाशी उतरावे आणि पुढे चालायला सुरुवात करावी. मधल्या टेकाडाला वळसा घातल्यावर कड्या जवळ असणार्‍या एका खाचेत किल्ल्याचा उध्वस्त प्रवेशव्दार आहे. प्रवेशव्दार वरुन चटकन नजरेस पडत नाही त्यासाठी थोडे खाली उतरुन जावे लागते. प्रवेशव्दाराच्या दरवाजीची कमान तुटलेली आहे. बाजूचे बुरुज ढासळलेले आहेत. दरवाजातून खाली उतरणारी वाट मोडलेली आहे. त्यामुळे या वाटेने खाली उतरता येत नाही. किल्ल्याचे प्रवेशव्दार पाहून पुन्हा वर येऊन गड प्रदक्षिणा चालू करावी. ५ मिनिटात आपण एका कोरड्या टाक्यापाशी पोहोचतो. हे टाक पाहून पुढे गेल्यावर आपण काटकोनात असलेल्या दोन टक्यांपाशी पोहोचतो. येथे आपली गड प्रदक्षिणा पूर्ण होते. गडफ़ेरी पूर्ण करण्यास एक तास लागतो.आड किल्ल्यावरुन पश्चिमेला अवंधा (औंधा), पट्टा, बितनगड आणि त्यामागे कलसूबाईचे शिखर दिसते. तर ईशान्येला डुबेरगड (डुबेरा) दिसतो.     ",सिन्नर हे आड किल्ल्या जवळचे मोठे शहर आहे. सिन्नरहून आडवाडी गावात जाण्यासाठी दिवसातून ५ एसटी बसेसची सोय आहे. याशिवाय खाजगी जीप (वडाप) सिन्नर ते ठाणगाव अशा धावतात. ठाणगावहून जीपने आडवाडी गाठता येते. मुंबई नाशिक महामार्गाने घोटी पर्यंत येऊन पुढे घोटी सिन्नर रस्त्याने हरसुल गावापर्यंत यावे. हरसूल गावातून ठाणगावला गावाला जाणारा रस्ता आहे. ठाणगाव ते आडवाडी अंतर ७ किलोमीटर आहे. आडवाडीतून धरणा जवळून कच्चा रस्ता किल्ल्याच्या पायथ्याच्या हनुमान मंदिरापर्यंत जातो. या रस्त्याने आडवाडीतून किल्ल्याच्या पायथ्याला पोहोचण्यासाठी २० मिनिटे लागतात. किल्ल्याचा पायथा ते गडमाथा जाण्यासाठी ३० मिनिटे लागतात. मुंबई ते आडवाडी अंतर २०० किमी आहे.,किल्ल्यावरील गुहेत २० जणांची राहाण्याची सोय आहे.,जेवणाची सोय ठाणगाव / सिन्नरला आहे.   ,किल्ल्यावर पिण्याचे पाणी नाही.,"पायथ्यापासून ३० मिनिटे, आडवाडी गावातून किल्ल्यावर जाण्यास १ तास लागतो.",जुन ते फ़ेब्रुवारी,,,,,,,,,,,,
1,Achala-Trek-A-Alpha.html," अचला 
 (Achala)    ","
4040","गिरीदुर्ग
",सातमाळ,नाशिक,मध्यम,"








Achala












Achala







","दगड पिंप्री हे अचला किल्ल्याच्या पायथ्याचे गाव आहे. या गावात ५ फ़ूट उंचीच्या ६ वीरगळी पाहायला मिळतात. गड चढायला सुरुवात केल्यावर अचला गडाची सोंड खाली उतरते. त्या खिंडीत एक पत्र्याचे देऊळ आहे. त्या देवळाला सतीचे देऊळ म्हणतात. तेथून एक टप्पा चढून गेल्यावर भगव्या झेंड्याच्या खाली शेंदुर फ़ासलेली हनुमानाची मुर्ती पाहायला मिळते. गडाच्या कातळ टोपी खाली गडावर जाणार्‍या कातळ कोरीव पायर्‍या पाहायला मिळतात. अर्ध्या पायर्‍या चढल्यावर कातळात वरच्या बाजूला एक ३ फ़ूट लांब आणि ३ फ़ूट रुंद आकाराची चौरस प्रवेशव्दार असलेली गुहा पाहायला मिळते. गुहेत जाण्यासाठी पायर्‍या सोडून थोड चढुन जाव लागत. गुहा १० फ़ुट लांब आहे. या गुहेतून दूरवरचा परीसर चांगला दिसतो. याची योजना टेहळणीसाठी केलेली असावी. गुहा पाहून परत पायर्‍या चढायला सुरुवात करावी. पायर्‍या संपतात तेथे पाण्याचे बुजलेले एक टाक आहे. पुढे एक छोटा टप्पा चढुन गेल्यावर उजव्या बाजूला पाण्याचे बुजलेले एक टाक आहे. गड माथ्यावर प्रवेश केल्यावर एक टाक दिसत. त्या टाक्या भोवतीच्या झुडूपांवर कपडे पडलेले दिसतात. कुठल्याही मोठ्या आजारातून बरे झाल्यावर गावकरी या ठिकाणी येऊन स्नान करतात. त्यावेळी ते गावातून घालून आलेले कपडे या ठिकाणी सोडून, नविन कपडे घालून जातात. आज मात्र हे टाक सुकलेल आहे. टाक्याच्या वरच्या बाजूला एका झाडाखाली काही मुर्ती ठेवलेल्या आहेत. पण त्या ओळखता येण्याच्या पलिकडे झिजलेल्या आहेत. त्यामागे घरांची जोती आहेत. तिथून उजव्या बाजूला वळून किल्ला आणि बाजूचा डोंगराच्या घळीत उतरायला सुरुवात केली की दोन  टाकी दिसतात त्याच्या खालच्या बाजूस दोन टाकी आहेत. त्याच्या खाली एका पुढे एक पाच टाकी आहेत. अशी ८ टाक्यांची अनोखी रचना पाहायला मिळते. हि टाकी पाहून परत किल्ल्यात प्रवेश केला तेथे येऊन विरुध्द दिशेला (प्रवेश केला तेथून डावीकडे) डाव्या बाजूला गेल्यावर एक मोठ पाण्याच कोरड टाक पाहायला मिळते. त्यात दगड पडून ते बर्‍याच प्रमाणात बुजलेल आहे. टाक पाहून परत प्रवेशव्दाराशी आल्यावर गडफ़ेरी पूर्ण होते. गडमाथा छोटा असल्यामुळे गडफ़ेरीस अर्धा तास पुरतो. अहिवंतगड, सप्तशृंगी, मार्कंड्या, रावळ्या-जावळ्या, धोडप ही रांग अचला वरुन पाहायला मिळते.","मुंबई किंवा पुणे मार्गे नाशिक गाठाव. नाशिकहुन वणी गाठावे. वणीहून एस.टी.ने पिंपरी अचलाकडे जावे. हे अंतर साधारण १२ किमी आहे. अचला गावात उतरून दगड पिंपरी गावाकडे सरळ चालत निघावे. हे अंतर अर्ध्या तासाचे आहे. दगड पिंपरी हे अचला किल्ल्याच्या पायथ्याचे गावं आहे. खाजगी वाहानाने थेट दगड पिंपरी गावात जाता येते. गावातून समोरच्या डोंगरसोंडेवरील खिंडीत छोटेसे सतीचे देऊळ दिसते. त्याच्या दिशेने वर चढत जावे. पाऊलवाट प्रथम शेतातून आणि नंतर वनखात्याने लावलेल्या जंगलातून वर चढत जाते. साधारणपणे अर्ध्या तासात आपण सोंडेवरील सतीच्या देवळापाशी पोहोचतो. देवळापासून डाव्या बाजूला दिसणारा किल्ला ""अचला"", तर उजवीकडे धावत जाणारी सोंड थेट ""अहिंवत"" गडाला जाऊन मिळते. डाव्या बाजूने किल्ल्याच्या नाकाडावरून अंगावर येणारी वाट पकडावी. पहिल्या टप्प्यावर मारूतीचे मंदिर आहे. पुढे ही वाट कातळ कड्यापर्य़ंत उभी चढत जाते. कड्याच्या नाकाडा खाली आल्यावर उजवीकडे वळून , कडा डावीकडे आणि दरी उजवीकडे ठेवून आडवे चालत गेल्यावर कातळात खोदलेल्या पायर्‍या लागतात. पायर्‍या चढुन गेल्यावर आपला गडावर प्रवेश होतो. दगड पिंपरी गावातून गडमाथा गाठण्यास दीड तास लागतो. दगड पिंपरी ते बेलवाडी असा कच्चा रस्ता झालेला आहे. काही वर्षात गाडीने थेट सतीचे देऊळ असलेल्या सोंडेपर्य़ंत पोहोचता येईल. तेथून गडमाथा १ तासात गाठता येईल.",किल्ल्यावर राहण्याची सोय नाही.,जेवणाची व्यवस्था आपण स्वत: करावी.,गडावर पिण्या योग्य पाणी नाही.,दगड पिंप्री मार्गे दिड तास लागतो.,जुलै ते फेब्रुवारी,,,,,,,,,,,,
2,Aguada-Trek-A-Alpha.html," अग्वाडा 
 (Aguada)    ","
262","गिरीदुर्ग
",डोंगररांग नाही,गोवा,सोपी,"








Aguada












Aguada







","किल्ल्याच्या तीन बाजूंना खंदक आहे. खंदकाच्या भिंती दगडांनी बांधून काढलेल्या आहेत .खंदकावर टाकलेल्या पूलावरुन पुर्वाभिमुख प्रवेशव्दाराने आपण किल्ल्यावर प्रवेश करतो. किल्ल्यात प्रवेश केल्यावर समोरच आपल्याला दिपस्तंभ दिसतो. नव्या दिपस्तंभाच्या जागी पुर्वी १९७६ पर्यंत जुना दिपस्तंभ होता. किल्ला ज्या डोंगरावर बांधला आहे त्याला अग्वाडा पॉईंट असे म्हणतात. किल्ल्यावरील बुरुज बाणाच्या आकाराचे आहेत. किल्ल्यावर एक तळघर आहे. त्या तळघरात एक पाण्याची मोठी ९० लाख लीटर्सची भुमिगत टाकी आहे. किल्ल्यावर अनेक नैसर्गिक जलस्त्रोत आहेत, त्यातील पाणी या टाकीत जमा करुन  मोठ्या सफ़रींवर जाण्यापुर्वी जहाजे या किल्ल्यातून पाणी भरुन घेत असत. या तळघरात सध्या जाता येत नाही. डोंगराच्या उतरत्या सोंडेवर किल्ल्याची तटबंदी आणि बुरुज आहेत. किल्ल्याच्या फ़ांजीवरुन किल्ल्यावर फ़िरता येते.किल्ल्याच्या परकोटाची तटबंदी समुद्रापर्यंत आहे. याच भागात तुरुंग असल्याने हा भाग बंद केलेला आहे. लोअर अग्वाडा म्हणजेच खालच्या अग्वाडाला जाणासाठी आपल्याला ३ किलोमीटरचा वळसा घालून ताज फ़ोर्ट अग्वाडा या पंचतारांकीत हॉटेल जवळील सिंक्वेरीयम बीच गाठावा लागतो. या ठिकाणी समुद्रात असलेला गोल बुरुज आणि किनार्‍यावर आसलेले २ त्रिकोणी बुरुज आणि तटबंदी पाहायला मिळते. या भागाला Sinquerim Fort असेही म्हणतात. ",गोव्यातील थिविम आणि पणजीहून म्हापसाला जाण्यासाठी बस आहेत. म्हापसाहून Candolim Beach पर्यंत बसेस मिळतात. कँडोलिम समुद्रकिनार्‍यापासून लोअर अग्वाडा (Sinquerim Fort) जवळच आहे. अप्पर अग्वादाला किल्ला येथून ३ किलोमीटर अंतरावर आहे.,किल्ल्यावर राहाण्याची सोय नाही ,किल्ल्यावर जेवणाची सोय नाही,किल्ल्यावर पिण्याच्या पाण्याची सोय नाही,,वर्षभर,"अग्वाडा किल्ला मांडवी नदीच्या उत्तर काठावर आहे. १७ व्या शतकात डच व्य़ापारी आणि पोर्तुगीज व्य़ापारी यांच्यात भारतात व्य़ापार करण्यासाठी मोठी स्पर्धा निर्माण झाली, इसवी सन १६०४ मधे डच व्यापार्‍यांनी मांडवी नदीच्या मुखावर पोर्तुगीजांच्या जहाजांची नाकाबंदी केली. उत्तर तटावरील रिस मॅगोस किल्ल्यावरील आणि दक्षिण तटावरील गॅस्पर दिआस किल्ल्यावरील तोफ़ा ही नाकाबंदी मोडुन काढण्यासाठी अयशस्वी ठरल्या. ही नाकाबंदी मोडुन काढण्यासाठी पोर्तुगीजांनी मांडवी नदीच्या मुखावर अग्वाडा किल्ल्यांची निर्मिर्ती केली व झुवारी नदीच्या तोंडावर मार्मागोवा किल्ल्याची निर्मिती केली. या किल्ल्याची निर्मिती इसवी सन १६०६ मधे पोर्तुगीजांनी केली. हा किल्ला सैनिकी अभियांत्रिकीचा उत्कृष्ठ नमुना आहे.",,,,,,,,,,,
3,Ahivant-Trek-A-Alpha.html," अहिवंत 
 (Ahivant)    ","
4000","गिरीदुर्ग
",सातमाळ,नाशिक,मध्यम,"








Ahivant












Ahivant







","दरेगावातून अहिवंतगडाचा डोंगर नालेच्या आकारात पसरलेला दिसतो. अहिवंतगडाच्या बाजुला बुध्या डोंगर आहे. त्याच्या बाजुला अजुन एक डोंगर आहे. गावातील मारुती मंदिरापासुन चढायला सुरुवात केल्यावर आपण बुध्या आणि त्याच्या बाजूचा डोंगर या मधिल घळीत पोहोचतो. घळ चढुन बुध्या डोंगराला वळसा घालुन आपण बुध्या आणि अहिवंत गडाच्या मधल्या घळीत येतो. घळ चढुन गेल्यावर डाव्या बाजुला बुध्यावर कोरलेल्या कातळ कोरीव पायर्‍या आणि वरच्या बाजूस बुरुज दिसतो. या पायर्‍यांवर माती पडलेली आहे. त्यामुळे या  पायर्‍या काळजीपूर्वक चढुन गेल्यावर आपण बुरुजा पाशी पोहोचतो. बुरुजाच्या पुढे एक सुकलेल टाक आहे. पुढे गेल्यावर दोन खराब टाकी आहेत. बुध्याच्या माथ्याला वळसा घातल्यावर अजुन एक बुरुज पाहायला मिळतो. बुध्याच्या माथ्यावर चार पाण्याची टाकी आहेत. त्यापैकी एक बुजलेल आहे. माथ्यावर एक शेंदुर लावलेला दगड आहे. बुध्याचा माथा छोटा असल्याने अर्ध्या तासात बुध्या पाहुन परत अहिवंतगड आणि बुध्याच्या मधल्या घळीत उतरुन १० मिनिट चढल्यावर आपण अहिवंत गडाच्या माथ्यावर पोहोचतो. माथ्यावर पोहोचल्यावर डाव्या बाजुला एक टेकडी आहे पण त्यावर कुठलेही अवशेष नाहीत. गडावरील महत्वाचे अवशेष गडाच्या मध्यभागी दिसणार्‍या टेकडीच्या आसपास आहेत. त्यामुळे टेकडीच्या दिशेने चालायला सुरुवात करावी. साधारणपणे आपण १०  मिनिटात उध्वस्थ वाड्यांच्या अवशेषांपाशी पोहोचतो. इथे भरपूर उध्वस्थ वाड्यांचे अवशेष पसरलेले आहेत. त्यावरुन या ठिकाणी गडावरील मुख्य वस्ती होती याचा अंदाज बांधता येतो. यापैकी एका मोठ्या कोसळलेल्या वाड्याच्या मागच्या बाजुला तलाव आहे.  त्या तलवाच्या काठावर मारुती आणि सप्तशृंगी देवीची मुर्ती आहे. तलावाच्या काठी एक उध्वस्थ कोठाराची इमारत आहे.तलावाच्या आजुबाजूचे हे अवशेष पाहुन गडावरील टेकडीच्या दिशेने चालायला सुरुवात करावी.  टेकडीपाशी पोहोचल्यावर टेकडी उजव्या हाताला ठेउन व दरी डाव्या हाताला ठेउन चालायला सुरुवात करावी. इथे डाव्या बाजुला दरीच्या टोकाला कातळात कोरलेली गुहा आहे. ही गुहा खालच्या अंगाला असल्यामुळे वरुन दिसत नाही. गुहेत जाण्यासाठी कातळात कोरलेल्या पायर्‍या होत्या पण आता त्या नष्ट झाल्याने काळजीपूर्वक खाली उतरावर लागत. गुहेत एक सुकलेल पाण्याच टाक आहे. गुहा सध्या राहाण्यायोग्य नाही. गुहेतून दुरवरचा परिसर दिसतो.गुहा पाहुन वर येउन परत टेकडी उजवेकडे ठेवत पुढे गेल्यावर पाण्याच टाक लागत. यातील पाणी पिण्यायोग्य आहे. टाक्याच्या बाजूला एक दगडाची तुटलेली ढोणी आहे. खंडोबाची एक अश्वारुढ मुर्ती आहे.  टाक्यातल पाणी पिउन टेकडी चढुन जावे. टेकडीवर उध्वस्त घरांचे चौथरे आहेत आणि एक बुजलेल टाक आहे. टेकडीवरुन गडाचा पसारा आणि टेकडीच्या टोकाखाली असणारा बांधीव तलाव दिसतो. या तलावाच्या दिशेने खाली उतरावे. तलाव पाहुन पुढे गेल्यावर उजव्या बाजुला कड्याखाली (दरेगावाच्या दिशेला) कातळात कोरलेली गुहा आहे. ती पाहाण्यासाठी जाण्यासाठी अरुंद वाट आहे त्यावर घसारा (स्क्री ) असल्याने जपुन जावे लागते. गडावरील या दोनही गुहा गडाच्या पठाराच्या खालच्या बाजुस खोदलेल्या असल्याने वरुन त्यांचा अंदाज येत नाही. माहितगार बरोबर असल्यास या गुहा पाहाता येतात.गुहा पाहुन परत पठारावर येउन पुढे चालत गेल्यावर आपण उध्वस्त प्रवेशव्दारापाशी येतो. प्रवेशव्दारातून बाहेर पडल्यावर कातळात कोरुन काढलेला सर्पिलाकार मार्ग आणि पायर्‍या पाहायला मिळतात. हा त्याकाळी किल्ल्यावर येण्याचा राजमार्ग होता. राजमार्ग उतरुन गेल्यावर आपण एका अरुंद पठारावर येतो. येथे एक पाण्याचे मोठे सुकलेले टाक आहे. टाक पाहुन पुढे गेल्यावर वाट खाली उतरते. या वाटेन एक छोटा वळसा मारल्यावर कातळात कोरलेली एक खांब असलेली गुहा दिसते. ही गुहा राहाण्यायोग्य नाही. गुहा पाहुन खाली उतरल्यावर आपण उध्वस्त दरवाजापाशी पोहोचतो. या दरवाजाच्या बाजुचे बुरुज आणि देवड्याही नष्ट झालेल्या आहेत . या दरवाजातून खालचा दरेगाव बेलवाडी रस्ता दिसतो. या दरवाजातून बाहेर पडुन थोड खाली उतरल्यावर दोन वाटा आहेत. एक वाट सरळ खाली उतरत रस्त्यावर गेलेली आहे. बिलवाडीला उतरायचे असल्यास ही वाट पकडावी.दरेगावला जाण्यासाठी उजव्या बाजुची कड्याखालुन जाणारी वाट पकडावी. कातळकडा उजवीकडे आणि दरी डावीकडे ठेवत ही वाट सरळ कड्याच्या टोकापर्यंत जाते आणि तिथुन खाली खिंडीत उतरते. खिंडीतून दरेगाव बेलवाडी रस्ता बनवल्यामुळे याठिकाणी वाट थोडी कठीण बनलेली आहे. रस्त्यावर उतरल्यावर मधल्या वाटानी दरेगावला पोहोचायला अर्धा तास पुरतो. या मार्गाने दरेगाव मारुती मंदिरापासुन सुरुवात करुन बुधा आणि अहिवंत गडाच्या दुसर्‍या टोकाला असलेल्या दरेगाव बेलवाडी रस्त्यावरील खिंडीत उतरल्यास किल्ला कमीत कमी वेळात संपूर्ण पाहुन होतो. किल्ला नीट पाहाण्यास किमान 3 तास लागतात.किल्ल्यावरुन अचला, मोहनदर ,सप्तशृंगी, मार्कंड्या, रावळ्या-जावळ्या, धोडप ही रांग पाहायला मिळते. ","पोहोचण्याच्या वाटा :१) नाशिक शहर देशातल्या सगळ्या शहरांशी रस्त्याने आणि रेल्वेने जोडलेले आहे. नाशिकहुन सप्तशृंगी देवीचे वणी गाठावे. वणीहून नांदुरी, कळवणकडे जाणार्‍या एस.टी.ने दरेगाव फ़ाट्यावर उतरावे. हे अंतर साधारण १२ किमी आहे. फ़ाट्यावर उतरून चालत १० मिनिटात दरेगावातल्या मारुती मंदिरापाशी पोहोचावे. दरेगाव हे अहिवंत किल्ल्याच्या पायथ्याचे गावं आहे. खाजगी वाहानाने थेट दरेगावात जाता येते. दरेगावातून पाहील तर अहिवंतगडाचा डोंगर नालेच्या आकारात पसरलेला दिसतो. अहिवंतगडाच्या बाजुला बुध्या डोंगर आहे. त्याच्या बाजुला अजुन एक डोंगर आहे. गावातील मारुती मंदिरापासुन चढायला सुरुवात केल्यावर आपण बुध्या आणि त्याच्या बाजूचा डोंगर या मधिल घळीत पोहोचतो. घळ चढुन बुध्या डोंगराला वळसा घालुन आपण बुध्या आणि अहिवंत गडाच्या मधल्या घळीत येतो. घळ चढुन गेल्यावर डाव्या बाजुला बुध्यावर कोरलेल्या कातळ कोरीव पायर्‍या दिसतात. उजव्या बाजूच्या वाटेने गडाच्या माथ्यावर जाता येते. दरेगावातून गडमाथा गाठण्यास दीड तास लागतो. दरेगाव मारुती मंदिरापासुन सुरुवात करुन बुधा आणि अहिवंत गडाच्या दुसर्‍या टोकाला असलेल्या दरेगाव बेलवाडी रस्त्यावरील खिंडीत उतरल्यास किल्ला कमीत कमी वेळात संपूर्ण पाहुन होतो. किल्ला नीट पाहाण्यास किमान ३ तास लागतात.दरेगाव ते बेलवाडी रस्त्याचे काम चालू आहे. हा रस्ता झाल्यावर खिंडी पर्यंत थेट गाडीने जाता येईल आणि तेथुन राजमार्गाने किल्ल्यावर जाता येईल. २) बेलवाडी मार्गे अहिवंत किल्ल्यावर जाणारी दुसरी वाट बेलवाडी गावातून किल्ल्यावर येते. वणी बेलवाडी असा ३० किमीचा फ़ेरा मारावा लागतो. बेलवाडीतून २ तासात गडावर पोहोचता येते.३)  अचला मार्गे मुंबई किंवा पुणे मार्गे नाशिक गाठाव. नाशिकहुन वणी गाठावे. वणीहून एस.टी.ने पिंपरी अचलाकडे जावे. हे अंतर साधारण १२ किमी आहे. अचला गावात उतरून दगड पिंपरी गावाकडे सरळ चालत निघावे. हे अंतर अर्ध्या तासाचे आहे. दगड पिंपरी हे अचला किल्ल्याच्या पायथ्याचे गावं आहे. खाजगी वाहानाने थेट दगड पिंपरी गावात जाता येते. गावातून समोरच्या डोंगरसोंडेवरील खिंडीत छोटेसे सतीचे देऊळ दिसते. त्याच्या दिशेने वर चढत जावे. पाऊलवाट प्रथम शेतातून आणि नंतर वनखात्याने लावलेल्या जंगलातून वर चढत जाते. साधारणपणे अर्ध्या तासात आपण सोंडेवरील सतीच्या देवळापाशी पोहोचतो. देवळापासून डाव्या बाजूला दिसणारा किल्ला अचला, तर उजवीकडे धावत जाणारी सोंड थेट अहिंवत गडाला जाऊन मिळते.",किल्ल्यावर राहण्याची सोय नाही. दरेगावातील मारुती मंदिरात ३० जणांची सोय होते.,जेवणाची व्यवस्था आपण स्वत: करावी. ,गडावर पाण्याची पाण्याची टाकी आहे. त्यात फेब्रुवारी पर्यंत पाणी मिळू शकते.,दरेगाव मार्गे दिड तास आणि बेलवाडी मार्गे २ तास लागतात.,जुलै ते फेब्रुवारी,"इसवीसन १६३६ मधे अहिवंतगड निजामशाहीच्या ताब्यात होता. मुघल बादशाहा शहाजहानने नाशिक भागातील किल्ले काबिज करण्याची जबाबदारी शाहिस्तेखानावर सोपवली. शाहिस्तखानाचा सरदार अलिवर्दीखानाने अहिवंतगड जिंकून घेतला.इसवीसन १६७० मधे शिवाजी महाराजांनी हा किल्ला मुघलांकडून जिंकून घेतला.सुरत, करंजा सारख्या शहरांची लुट, मुघलांचे किल्ले जिंकून घेणे या शिवाजी महारांजांच्या कारवायांमुळे औरंगजेब बादशहा संतापला होता.त्याने आपल्या दक्षिणेत असलेल्या सरदाराला महाबतखानास अहिवंतगड घेण्याची आज्ञा केली.महाबतखान नाशिकला असलेल्या दिलेरखानाला सोबत घेऊन त्याने अहिवंतगडाला वेढा घातला.महाबतखानाने महादरवाजावर तर दिलेरखानाने पिछाडीला मोर्चे लावले.एक महिना झाला तरी अहिवंतगड दाद देत नव्हता.या दरम्यान दंतकथेत शोभावी अशी घटना घडली.या घटनेची नोंद भिमसेन सक्सेनाच्या तारीखे दिल्कुशा आणि जेधे शकावलीतही सापडते.दिलेरखानाच्या छावणीत एके दिवशी एक ज्योतिषी आला.त्याला दिलेरखाना समोर पेश करण्यात आल.त्याला किल्ला कधी हाती येईल अस विचारल्यावर त्याने साखर मागवली.साखरेने त्याने अहिवंत गडाचा नकाशा काढला.साखरेनेच महाबत खान आणि दिलेरखानाचे मोर्चे दाखवले.त्यानंतर त्याने आपल्या पिशवीतील पेटीतून एक मुंगळा बाहेर काढला आणि त्या साखरेच्या किल्ल्यावर सोडला.त्या मुंगळ्याने महाबत खानाने महादरवाजावर लावलेल्या मोर्च्याकडे गेला त्यानंतर तो दिलेरखानाच्या मोर्च्याकडे गेला.तिकडून किल्ल्यात प्रवेश केला.त्यावरून ज्योतिषाने गणित मांडली आणि सांगितले की, महाबतखानाकडून महादरवाजावर निकराचा हल्ला होईल.पण ६ दिवसांनी किल्ला दिलेरखानाच्या मोर्च्याकडून हस्तगत होईल.ज्योतिषाने सांगितलेले भविष्य सहा दिवसांनी खरे ठरले.महाबतखानाने महादरवाजावर तिखट मारा केला.किल्ल्यावरील दारूगोळा, धान्य संपत आले होते.त्यामुळे मराठ्यानी किल्ला सोडण्याचा निर्णय घेतला.महाबतखान निकराने किल्ला लढवत असल्यामुळे त्याच्याकडे जाण्यात अर्थ नव्हता म्हणुन मराठ्यानी आपला दुत दिलेरखानकडे पाठवला व किल्ला देण्याची इच्छा व्यक्त केली.दिलेरखानाने मराठ्यांना किल्ल्या बाहेर सुखरुप जाण्याचा मार्ग दिला आणि किल्ला ताब्यात घेतला.इसवीसन १८१८ मध्ये सर प्रॉथर याने किल्ला मराठ्यांकडून जिंकुन घेतला.",,,,,,,,,,,
